true_sg,label_index,class_count_train,class_frequency_group,num_test_samples,accuracy_no_fls,accuracy_fls,recall_no_fls,recall_fls,f1_no_fls,f1_fls,delta_accuracy,delta_recall,delta_f1
125,124,13,Head,3,1.0,1.0,1.0,1.0,0.8571428571428571,1.0,0.0,0.0,0.1428571428571429
129,128,29,Head,7,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6666666666666666,0.7692307692307693,0.0,0.0,0.10256410256410264
139,138,11,Head,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
140,139,6,Head,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
148,147,23,Head,6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8,0.8,0.0,0.0,0.0
166,165,12,Head,3,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,0.0,0.0,-0.1428571428571429
176,175,5,Head,2,1.0,1.0,1.0,1.0,1.0,0.8,0.0,0.0,-0.19999999999999996
191,190,5,Head,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
193,192,6,Head,2,1.0,1.0,1.0,1.0,1.0,0.8,0.0,0.0,-0.19999999999999996
221,220,14,Head,4,0.5,0.5,0.5,0.5,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0
225,224,289,Head,72,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9726027397260274,0.993006993006993,0.0,0.0,0.020404253280965623
227,226,13,Head,4,0.75,0.75,0.75,0.75,0.5,0.6,0.0,0.0,0.09999999999999998
14,13,109,Head,27,0.6296296296296297,0.5555555555555556,0.6296296296296297,0.5555555555555556,0.5573770491803278,0.5660377358490566,-0.07407407407407407,-0.07407407407407407,0.008660686668728768
29,28,4,Medium,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
92,91,3,Medium,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
163,162,4,Medium,1,0.0,1.0,0.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.6666666666666666
13,12,5,Medium,2,0.0,0.5,0.0,0.5,0.0,0.4,0.5,0.5,0.4
5,4,3,Medium,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,25,5,Medium,1,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,-0.5
45,44,3,Medium,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
58,57,3,Medium,1,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.0,0.0,-0.33333333333333337
87,86,3,Medium,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,122,3,Medium,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,140,5,Medium,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,160,2,Medium,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,163,4,Medium,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,166,5,Medium,2,0.5,0.5,0.5,0.5,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0
194,193,4,Medium,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
198,197,3,Medium,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203,202,4,Medium,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
205,204,4,Medium,1,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.0,0.0,0.33333333333333337
216,215,3,Medium,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217,216,2,Medium,1,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.0,0.0,0.33333333333333337
9,8,2,Tail,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,52,1,Tail,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
71,70,2,Tail,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,84,1,Tail,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,120,2,Tail,1,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.0,0.0,0.33333333333333337
142,141,1,Tail,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223,222,1,Tail,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,223,1,Tail,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
