space_group,n_test_samples,accuracy_before,accuracy_after,recall_before,recall_after,f1_before,f1_after,class_count_train,class_frequency_group,delta_accuracy,delta_recall,delta_f1
139,3,1.0,1.0,1.0,1.0,1.0,1.0,11,Head,0.0,0.0,0.0
140,2,1.0,1.0,1.0,1.0,1.0,1.0,6,Head,0.0,0.0,0.0
148,6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8,0.8,23,Head,0.0,0.0,0.0
166,3,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,12,Head,0.0,0.0,-0.1428571428571429
176,2,1.0,1.0,1.0,1.0,1.0,0.8,5,Head,0.0,0.0,-0.1999999999999999
191,2,1.0,1.0,1.0,1.0,1.0,1.0,5,Head,0.0,0.0,0.0
193,2,1.0,1.0,1.0,1.0,1.0,0.8,6,Head,0.0,0.0,-0.1999999999999999
221,4,0.5,0.5,0.5,0.5,0.6666666666666666,0.6666666666666666,14,Head,0.0,0.0,0.0
225,72,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9726027397260274,0.993006993006993,289,Head,0.0,0.0,0.0204042532809656
227,4,0.75,0.75,0.75,0.75,0.5,0.6,13,Head,0.0,0.0,0.0999999999999999
5,1,0.0,0.0,0.0,0.0,0.0,0.0,3,Medium,0.0,0.0,0.0
13,2,0.0,0.5,0.0,0.5,0.0,0.4,5,Medium,0.5,0.5,0.4
26,1,1.0,1.0,1.0,1.0,1.0,0.5,5,Medium,0.0,0.0,-0.5
29,1,0.0,1.0,0.0,1.0,0.0,1.0,4,Medium,1.0,1.0,1.0
45,1,1.0,1.0,1.0,1.0,1.0,1.0,3,Medium,0.0,0.0,0.0
58,1,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,3,Medium,0.0,0.0,-0.3333333333333333
87,1,0.0,0.0,0.0,0.0,0.0,0.0,3,Medium,0.0,0.0,0.0
92,1,0.0,1.0,0.0,1.0,0.0,1.0,3,Medium,1.0,1.0,1.0
123,1,0.0,0.0,0.0,0.0,0.0,0.0,3,Medium,0.0,0.0,0.0
141,1,0.0,0.0,0.0,0.0,0.0,0.0,5,Medium,0.0,0.0,0.0
161,1,0.0,0.0,0.0,0.0,0.0,0.0,2,Medium,0.0,0.0,0.0
163,1,0.0,1.0,0.0,1.0,0.0,0.6666666666666666,4,Medium,1.0,1.0,0.6666666666666666
164,1,0.0,0.0,0.0,0.0,0.0,0.0,4,Medium,0.0,0.0,0.0
167,2,0.5,0.5,0.5,0.5,0.6666666666666666,0.6666666666666666,5,Medium,0.0,0.0,0.0
194,1,1.0,1.0,1.0,1.0,1.0,1.0,4,Medium,0.0,0.0,0.0
198,1,0.0,0.0,0.0,0.0,0.0,0.0,3,Medium,0.0,0.0,0.0
203,1,1.0,1.0,1.0,1.0,1.0,1.0,4,Medium,0.0,0.0,0.0
205,1,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,4,Medium,0.0,0.0,0.3333333333333333
216,1,0.0,0.0,0.0,0.0,0.0,0.0,3,Medium,0.0,0.0,0.0
217,1,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,2,Medium,0.0,0.0,0.3333333333333333
